Question,A,B,C,D,Correct
Chỉ tiêu nào không dùng để phân tích tài chính dự án đầu tư:,Đơn vị trúng thầu thi công dự án,Ước tính toàn bộ chi phí dự án,Ước tính nguồn vốn vay,Phân tích độ nhạy với các biến thiên về suất đầu tư và giá thuê dự kiến,A
"Tiến trình ra quyết định mua một bất động sản của khách hàng, bắt đầu bằng:",Thu nhập.,Nhận thức được nhu cầu.,Tìm kiếm thông tin.,Lựa chọn các giải pháp,A
Giai đoạn đầu tiên của quá trình hoạch định chiến lược marketing là:,Xác định thị phần mong muốn.,Tìm nhóm khách hàng tiềm năng mà nhu cầu của họ chưa được thỏa mãn.,Bắt tay vào phối hợp marketing-mix.,Xác định xem công ty có hội đủ các điều kiện để đáp ứng,A
Nội dung quyền của người sử dụng đất được xác định là:,"Được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất","Hưởng thành quả lao động, kết quả đầu tư trên đất",Được bồi thường khi Nhà nước thu hồi đất theo quy định của pháp luật,"Cả A, B và C",A
"Điều kiện thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, góp vốn bằng quyền sử dụng đất khi có các điều kiện nào sau đây?",Có giấy chứng nhận,"Đất không có tranh chấp, quyền sử dụng đất không bị kê biên để đảm bảo thi hành án",Trong thời hạn sử dụng đất,"Cả A, B và C",A
"Tổ chức kinh tế, cá nhân, người Việt Nam định cư ở nước ngoài, doanh nghiệp có vốn đầu tư nước ngoài được bán tài sản gắn liền với đất thuê của Nhà nước khi có những điều kiện nào?",Tài sản gắn liền với đất được tạo lập hợp pháp theo quy định của pháp luật,"Đã hoàn thành việc xây dựng theo đúng quy hoạch xây dựng chi tiết và dự án đầu tư đã được phê duyệt, chấp thuận",Cả A và B đều đúng,Cả A và B đều sai,A
Người mua tài sản gắn liền với đất thuê phải bảo đảm các điều kiện nào?,Có năng lực tài chính để thực hiện dự án đầu tư,Có ngành nghề kinh doanh phù hợp với dự án đầu tư,"Không vi phạm quy định pháp luật về đất đai đối với trường hợp đã được Nhà nước giao đất, cho thuê đất để thực hiện dự án trước đó","Cả A, B và C",A
Thủ tục hành chính về đất đai được hiểu là:,Thủ tục xử phạt hành chính trong lĩnh vực đất đai,"Thủ tục đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hửu nhà ở và tài sản khác gắn liền với đất","Thủ tục thu hồi đất, giao đất, cho thuê đất, chuyển mục đích sử dụng đất","Cả A, B và C",A
Đâu không phải là quyền của tổ chức cá nhân tham gia sàn giao dịch bất động sản?,"Ký hợp đồng với doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản để mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản.",Thực hiện quy chế hoạt động của sàn giao dịch bất động sản,"Yêu cầu doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản cung cấp hồ sơ, thông tin về bất động sản.",Yêu cầu doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản bồi thường thiệt hại do lỗi của sàn giao dịch bất động sản gây ra.,A
Nội dung thanh tra chuyên ngành về đất đai bao gồm những nội dung nào?,Thanh tra việc chấp hành pháp luật về đất đai của Ủy ban nhân dân các cấp,Thanh tra việc chấp hành pháp luật về đất đai của người sử dụng đất và tổ chức cá nhân khác có liên quan,"Thanh tra việc chấp hành các quy định về chuyên môn, nghiệp vụ trong lĩnh vực đất đai","Cả A, B và C",A
Tranh chấp đất đai (mà các đương sự có Giấy chứng nhận) đã được hòa giải tại Ủy ban nhân dân xã nhưng không thành thì do cơ quan nào giải quyết?,Uỷ ban nhân dân cấp tỉnh,Ủy ban nhân dân cấp xã,Sở Nông Nghiệp và Môi trường,Tòa án nhân dân,A
"Giấy chứng nhận quyền sử dụng đất, Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở, Giấy chứng nhận quyền sở hữu nhà ở, giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định của pháp luật đất đai, pháp luật về nhà ở pháp luật về xây dựng trước ngày 01 tháng 08 năm 2024:",Không có giá trị pháp lý,"Vẫn có giá trị pháp lý và không phải đổi sang Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất","Có giá trị pháp lý nhưng bắt buộc phải đổi sang Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất theo quy định của Luật đất đai 2024","Cả A, B và C đều sai",A
Nhà nước trao quyền sử dụng đất cho người sử dụng đất cho người sử dụng đất thông qua hình thức nào sau đây:,"Quyết định giao đất không thu tiền sử dụng đất, giao đất có thu tiền sử dụng đất","Quyết định cho thu tiền thuê đất hàng năm, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê",Công nhận quyền sử dụng đất,"Cả A, B và C",A
Đâu là hành vi bị cấm trong lĩnh vực đất đai?,"Không đưa đất vào sử dụng, sử dụng đất không đúng mục đích",Cung cấp thông tin về đất đai theo quy định của pháp luật,Thực hiện các nghĩa vụ tài chính đối với Nhà nước,Thực hiện giao dịch về quyền sử dụng đất có đăng ký với cơ quan nhà nước có thẩm quyền,A
Dấu hiệu giao dịch đáng ngờ trong hoạt động kinh doanh bất động sản là:,Các giao dịch bất động sản là giao dịch ủy quyền nhưng không có cơ sở pháp lý.,"Khách hàng không quan tâm đến giá bất động sản, phí giao dịch phải trả. Giá giao dịch giữa các bên không phù hợp giá thị trường",Khách hàng không cung cấp được các thông tin liên quan đến bất động sản hoặc không muốn cung cấp bổ sung thông tin về nhân thân,"Cả A, B và C",A
Nghị định 16/2022/NĐ-CP được áp dụng cho phạm vi nào dưới đây,Chỉ áp dụng đối với lĩnh vực kinh doanh dịch vụ BĐS,Chỉ áp dụng đối với lĩnh vực kinh doanh BĐS,"Áp dụng chung cả trong lĩnh vực đất đai, xây dựng và bất động sản",Tất cả các câu trên đều đúng,A
Căn cứ tính tiền thuê đất theo quy định pháp luật hiện hành gồm những căn cứ nào?,Diện tích đất cho thuê,Mục đích sử dụng đất,"Diện tích đất cho thuê, thời hạn cho thuê đất, đơn giá cho thuê đất; hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm hoặc cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê","Diện tích đất cho thuê, thời hạn cho thuê đất, đơn giá cho thuê đất",A
Mức xử phạt từ 60-80 triệu đồng trong Nghị định 16/2022/NĐ-CP được áp dụng cho lĩnh vực đào tạo và quản lý thông tin dữ liệu thị trường BĐS:,Sử dụng tài liệu giảng dạy không phù hợp với quy định khung chương trình đào tạo,Không đảm bảo về thời lượng chương trình đào tạo theo quy định nhưng vẫn cấp giấy chứng nhận,Cả câu A và B đều đúng,Câu A đúng câu B sai,A
Mức xử phạt từ 80-100 triệu đồng trong Nghị định 16/2022/NĐ-CP được áp dụng cho lĩnh vực đào tạo và thi cấp chứng chỉ:,Được chủ động sử dụng kinh phí dự thi theo nhu cầu thực tế,Không quản lý tốt đề thi để làm lộ đề thi,Cả câu A và B đều đúng,Câu B đúng câu A sai,A
"Nghị định hướng dẫn về thu tiền sử dụng đất, tiền thuê đất do cơ quan nào ban hành?",Quốc hội,Chính phủ,Bộ Tài Chính,Bộ Nông Nghiệp và Môi trường,A
"Các tổ chức báo cáo phải xây dựng và ban hành quy chế nội bộ về phòng, chống rửa tiền theo qui định. Các tổ chức báo cáo đó là:","Cục Phòng, chống rửa tiền thuộc cơ quan Thanh tra, Cục Quản lý nhà và thị trường bất động sản thuộc Bộ Xây dựng","Sở Xây dựng các tỉnh, thành trực thuộc Trung ương","Tổ chức, cá nhân kinh doanh dịch vụ môi giới, quản lý bất động sản, sàn giao dịch bất động sản",Ngân hàng nhà nước,A
Doanh nghiệp có vốn đầu tư nước ngoài không được kinh doanh bất động sản dưới các hình thức nào?,Thuê quyền sử dụng đất của hộ gia đình để đầu tư xây dựng hạ tầng kỹ thuật sau đó chuyển nhượng đất đã có hạ tầng kỹ thuật,Được Nhà nước cho thuê đất sau đó đầu tư xây dựng nhà ở để cho thuê,"Được Nhà nước giao đất sau đó đầu tư xây dựng nhà ở để bán, cho thuê, cho thuê mua","Nhận chuyển nhượng toàn bộ hoặc một phần dự án bất động sản của chủ đầu tư để xây dựng nhà, công trình xây dựng để bán, cho thuê, cho thuê mua",A
Miễn tiền thuê đất trong thời gian xây dựng cơ bản theo dự án được cấp có thẩm quyền phê duyệt nhưng tối đa không quá mấy năm kể từ ngày có quyết định cho thuê đất:,01 năm,02 năm,03 năm,Tất cả sai,A
"Nhà nước có chế độ miễn, giảm tiền sử dụng đất cho các trường hợp:","Người có công với cách mạng, hộ nghèo, hộ đồng bào dân tộc thiểu số","Nhà ở xã hội, nhà ở cho người phải di dời do thiên tai",Cả A và B,Tất cả sai,A
"Trong Nghị định 16/2022/NĐ-CP, mức xử phạt từ 800 triệu - 1tỷ đồng được áp dụng cho hành vi vi phạm kinh doanh BĐS nào dưới đây:",Kinh doanh ngoài phạm vi cho phép của tổ chức,Huy động vốn sai quy định,Xây công trình chậm tiến độ,Tất cả các câu trên đều đúng,A
"Khi tiếp xúc tư vấn khách hàng, người môi giới không nên làm gì?","Nghe điện thoại, trao đổi công việc với nhân viên khác.",Ghi chép thông tin.,Lắng nghe khách hàng.,Quan tâm đến khách hàng.,A
Sau thời hạn tối đa ghi nợ tiền thuế chuyển quyền sử dụng đất mà chưa trả hết nợ thì người sử dụng đất phải:,"Chịu lãi suất quá hạn 0,05% một ngày","Chịu lãi suất quá hạn 0,05% một ngày nhưng không quá 18%/năm",Chịu phạt chậm nộp theo quy định của luật thuế,Nộp tiền sử dụng đất còn lại theo giá đất tại thời điểm trả nợ,A
"Tỷ lệ phần trăm lệ phí trước bạ áp dụng cho nhà, đất là:","0,3%","0,5%","0,7%","2,0%",A
Giá tính lệ phí trước bạ là:,Giá đất trên hợp đồng chuyển nhượng,"Giá đất do Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương ban hành làm căn cứ tính lệ phí trước bạ",Giá đất do Bộ Tài chính quy định tại thời điểm xác định nghĩa vụ tiền sử dụng đất bạ,"Cả A, B và C",A
